KEY;W.37.1;W.37.2.1;W.37.2.2;W.37.2.3;W.37.2.4;W.37.2.5;W.37.2.6.1;W.37.2.6.2;W.37.2.6.3;W.37.2.6.4;W.37.2.7;W.37.2.8;W.37.2.9;W.37.2.10;W.37.2.11;W.37.3.1;W.37.3.2;W.37.3.3;W.37.3.4;W.37.3.5;W.37.3.6.1;W.37.3.6.2;W.37.3.6.3;W.37.3.6.4;W.37.3.7;W.37.4.1;W.37.4.2;W.37.4.3;W.37.4.4;W.37.4.5;W.37.4.6.1;W.37.4.6.2;W.37.4.6.3;W.37.4.6.4;W.37.4.7;W.37.4.8.1;W.37.4.8.2;W.37.4.8.3;W.37.4.8.4;W.37.4.8.5;W.37.4.8.6;W.37.4.8.7;W.37.4.9.1;W.37.4.9.2;W.37.4.9.3;W.37.4.10.1;W.37.4.10.2.1;W.37.4.10.2.2;W.37.4.10.2.3;W.37.4.10.2.4;W.37.4.10.3.1;W.37.4.10.3.2;W.37.4.10.3.3;W.37.5.1;W.37.5.2;W.37.5.3;W.37.5.4;W.37.5.5;W.37.6.1;W.37.6.2.1;W.37.6.2.2;W.37.6.2.3;W.37.6.2.4;W.37.6.2.5;W.37.6.2.6;W.37.6.2.7.1;W.37.6.2.7.2;W.37.6.2.7.3;W.37.6.2.7.4;W.37.6.2.7.5;W.37.6.2.7.6;W.37.6.2.7.7;W.37.6.2.7.8;W.37.6.2.7.9
5838;1;22;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;;;;;;;;;;
5838;;;;;;;;;;;;;;;;;;;;;;;;;;118;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;R11;R11I40;1; ;01.01.2022; ;4; ; ; ; ; ; ; ; ; 
5838;572;22;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
5838;402;12;3;1; ; ;2; ; ; ; ; ; ; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5838;;68;16; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;24;99;17; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;;;;;;;;;;
5838;;;;;;;;;;;;;;;;;;;;;;;;;;151;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;;;;;;;;;;
5838;;;;;;;;;;;;;;;;;;;;;;;;;;28;19; ;01.01.2023; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;M11;M11I02;17; ;10.07.2021; ;14; ; ; ; ; ; ; ; ; 
5838;369;17;1;10; ; ;2; ; ; ; ; ; ; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5838;;12;1;22; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
5838;44; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;M22;M22T03;16;41;15.12.2021; ;4; ; ; ; ; ; ; ; ; 
